英単語,意味,発音記号
with,"《随伴・協調》…『と』,と共に,といっしょに / 《所有・所持》…『を持っている』,がある,の付いた / 《道具・手段》…『で』,を使って / 《財料・供給物》…『で』,を与えて / …を支持して,に賛成して / …『に反対(敵対)して』,を相手として / …『と同時に』,と同様に / …『に比べて』,に比例して / 《様態》《名詞を伴い副詞句として》『…で』,を示して,をもって / 《付帯状競》…『して』,しながら / 《譲歩》…がありながら,にもかかわらず / 『…が原因で』,のために,…で / …に任せて,のもとにあずけて,のところに / …に関して,について / …から離れて / 《連結・混合》…と / 《副詞と共に命令文で》",wíð
is,beの三人称・単数・現在,iz
for,"《時間・距離》『…の間』 / 《利益・貢献》『…のために』 / 《適応・用途》『…向きの(に);』…用の(に);…のための(に) / 《目的・意向》『…のために,』に / 《敬意・記念》『…のために;』…を記念して / 《獲得・追求》『…を得るために』,を求めて / 《行く先・方向》『…あてに;』…[方面]行きの,に向けて / 《交換・報償など》『…に対して』;…と引き換えに;…のお返しに / 《原因・理由》『…のために』,なので / 《代理・代表》『…の代わりに;』…を代表して / 《形容詞の後に用いて》『…にとって,』には / 《比較級の後に用いて》『…の結果として,』…のために / 《対比》『…としては,』のわりには / 《関連》『…について,』の点では / 《資格・属性》『…として』 / 《賛成・支持》…『に賛成して』,を支持して / 《傾向・好み》…『に対する』,には / 《模倣》《おもに米》《英文》…の名を取って(after) / 《割合》…に対して / 《『for』+『名』〈人〉+『to』 doの形で,〈人〉が不定詞to doの意味上の主語を表して》…が(…することは,…するために) / […というのは]…だから",fɔ’:r
as,"(…と)『同じくらい』,『同様に』 / 《比較》『…ほど』,『…くらい』,…ように / 《様態・程度》『…のように』,…と同じように / 《時》『…のときに』(when);…の間に,…するうちに(while) / 《話》《原因・理由》『…だから』,…なので / 《譲歩》《文》…だけれども(though) / 《先行する名詞の内容を制限して》『…のような』 / 《先行の,または後続の節の内容を受けて》『それは…だが』,…のように / 《役割・資格・機能などを表して》『…として』 / 《seem,appear,consider,pass,regard,treat,know,think of などの動詞の後で補語の働きをする語の前に置いて》…と[して] / 《前置詞・形容詞・分詞などの前に置いてその意味を限定して》…として[の],…とみなして,…と考えて / たとえば(for instance)",əz
had,"haveの過去・過去分詞 haveの過去形・《過去のある時における動作の完了・結果》…『して[しまって]いた』 / 《過去のある時までの経験》…『したことがあった』 / 《過去のある時までの継続》(ずっと)…『していた,してきた』 / 《過去のある時より前の事柄を表す》 / 《時制の一致により間接話法の従節に用いられて》 / 《仮定法》《過去の事実と反対の仮定》 / 《実現されなかった希望や意図》",hæ’d
you,"『あなた[がた]は(を)』,君[たち]は(を) / 《命令文》君[たち],皆さん / 《呼び掛け》君[たち],おまえ[たち] / 《一般に人を指して》人は(を)",jú:
not,"《助動詞,be動詞,時にhaveと共に,また一般動詞にはdoを添えて文の否定を表して》…『でない』,しない / 《語・句・節を否定して》…『でなく』 / 「not+形(副)」は否定される形容詞・副詞の反対の意味を強調することがある / notの意が及ぶ範囲の違いによって,意味解釈に違いが生じることがある / 《不定詞・分詞・動名詞を否定して》…[『し』]『ない』 / 《all, everyなどとともに用いて部分否定を表して》(全部が…なのでは)『ない』,(必ずしも…では)『ない』 / 《any, eitherなどに伴って全面否定を表して》(全然…)『しない』,(どちらも…)『しない』 / 《省略文でnotを含む句・節の代用として》『そうではない』",nɑ’t
be,"《連結語として補語を伴なって…『である』,…だ,…です / 《位置・場所を表す語句を伴って》(…に)『ある』,いる(occupy a place or situation) / 〈物事が〉『存在する』,ある(exist);〈生物が〉生存する,生きている(live) / 行われる,起こる,発生する(take place, occur) / 存続する,そのままでいる(remain as before) / 《『be to』 do》 / …する予定である,…することになっている / …すべきだ / 《受動態の不定詞を伴って》…できる / 《命令》…するのだ / 《条件節に》…する意図がある / 《『if…were to』 do》…するとしたなら / 《『be』 do『ing』》《進行形》 / 《進行中の動作》…している,しつつある / 《近い未来》…しようとしている,するつもり / 《動作の反復》(いつも)…している / 《『be』+『他動詞の過去分詞』》《受動態》…される,されている / 《『be』+『自動詞の過去分詞』》《完了形》…した[状態にある]",bí:
her,《sheの所有格》『彼女の』 / 《sheの目的格》『彼女に』 / 《口語》[be の補語に用いて] = her,hə’:r
on,"(また《文》upon)《位置・場所》…『の上に』,の上で,の上の / (また《文》upon)《運動・動作の方向・対象》…『に』[向かって] / 《話》…を身につけて / (また《文》upon)《近接して場所》…の近くに,…に面して,…の側に / 《特定の日時》…『に』 / 《状態》…『して』,…中で,…すると / (また《文》upon)…『について』,…に関して / 《目的》…『で』,…に / (また《文》upon)…に基づいて,…によって,…の支え(助け)で / 《所属を表して》(委員会・チームなどの)一員で / (また《文》upon)…を軸にして,…で / (また《文》upon)《前後に同じ名詞を並べて》…に加えて,…についで / 『上に』,『身につけて』 / (電気・水道・ガス・ラジオなどが)『ついて』,通じて / 行われて,続けて,従事して / 《時の副詞[句]を伴って》前方へ,ずっと",ɑ’n
at,"《場所・位置のある一点》『…で』,『…に』 / 《時間・年齢・目盛りなどの一点》『…に』,『…で』 / 『…の最中で』,に出席して / 『…の状態に』(『で』) / 『…を目指して』,に向かって / 《移動の経路》…を通って,…から / 《動作・感情などの原因・理由・動機》『…によって』,…を見て(聞いて,知って) / 《運動・動作の方法・様態》…で,…のやり方で / 《数量・割合・率》…で,…に / 《能力・性質などの存在場所》…が,…の点で",ət
by,"《場時・位置》…『のそばに』,の近くに;…の手もとに / 《経路・通過》…を経由して,を通って,のそばを通って / 《期限・期間》…『までに』,『の間に』 / 《根拠・理由》…『によって』,に従って,に基づいて / …『を単位として』 / 《差・程度》…だけ / 《手段・方法》…『で』,『によって』,を使って / …が原因で,…の結果 / 《動作を受ける部分を示して》…を,のところを / 《受動態で動作の主体を表して》『…によって』 / …に関しては,については / …に誓って,の名において,にかけて / …ずつ,ごとに,の順番に / 《寸法・乗除》…で;…を / …に対して,のために / 《訪問場所》…に / 『そばに』,近くに / そばを通って / わきへ,取りのけて / 《時の経過》過ぎて",bái
which,"《疑問代名詞》《しばしば「of+複数名詞」を伴って》(一定数の人・物・事のうちで)『どちら』,どれどの物 / 《関係代名詞》 / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》(a)『そしてそれは(を)』,それは…だが(b)《副詞的な挿入節を導いて》『…なことには』 / 《先行詞を含んで》『どれでも…なもの』(whichever) / 《疑問形容詞》(句・節を導くこともある)(一定数の物・事のうちで)『どちらの』,どの / 《譲歩節で》《文》『どんな…でも』 / 《関係形容詞》 / 『そしてその(これらの)』 / 《先行詞を含んで》『どちらの(どの)…でも』(whichever)",(h)wiʧ
have,"(また《話》『have got』)〈物〉‘を’『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が’『いる』,‘を’持っている,〈召使など〉‘を’かかえている;〈動物〉‘を’飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を’『備えている』,‘が’ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を’持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を’経験する,〈病気〉‘に’かかる / …‘を’食べる,飲む,〈たばこ〉‘を’吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を’する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を’得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を’産む,もうける・《通例否定文で》…‘を’許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国 《現在完了》《have(has)+過去分詞》・《現在における動作の完了・結果》…『した』,…『してしまった』・《現在までの経験》…『したことがある』・《現在までの継続》(ずっと)…『している』,…『してきた』・《時・条件の副詞節で未来完了に代えて》…してしまう・《過去完了》《had+過去分詞》・《未来完了》《will(shall) have +過去分詞》・《未来のある時における動作の完了・結果》…『して』[『しまって』]『いるだろう』・《未来のある時までの経験》…『したことになる』・《未来のある時までの継続》…『していることになる』・《完了形不定詞》・《述語動詞の表す時より前に事柄を表す》・《期待・意図・願望・予定などを表す動詞の過去形に付いて実現されなかった事柄を表す》・《完了形分詞または動名詞》《述語動詞の表す時までに完了した事柄またはその結果を表す》",hæ’v
or,"《選択を表し,語句・節を結んで》《肯定文・疑問文で》…『または』…,…か… / 《否定文で》…も…もない / 《命令的表現の後で》『さもないと』 / 《前出の語を言い換えたり説明したりして》『すなわち』,言い換えれば",ɔ’:r
from,"《場所》…『から』 / 《範囲》 / 《時》…『から』 / 《運動・行動などの起点》 / 《範囲》 / 《数量・価格》…『から』 / 《分離・隔たり》…『から』 / 《状態の変化》…『から』 / 《起源・出典・由来・出身》…『から』 / 《原因・理由・根拠》…『から』;…で,によって / 《原料》…『から』 / 《相違・区別》…『と』[『違って』] / 《除去・選択・解放・奮取》…『から』 / 《抑制・妨害》…[すること]『を』《+do『ing』》 / 《副詞・前置詞句・名詞節を伴って,方向》…『から』",frʌ’m
this,"《近くの人・物・事を指して》『これ』,この人,こちら / 《時間・場所を指して》『今』,現在,今日;『ここ』 / 《次に述べること・今述べたことを指して》『このこと』,これ,こういうこと / 《that と対照的に》 / (that の前者に対して)『後者』 / 『この』 / 『今の』現在の;最近の / 《that と対照的に》『この』,こっちの / 《程度・量を示す形容詞・副詞とともに》これだけ,こんなに,この程度まで",ðís
him,"『彼を』,『彼に』 / 《話》彼(=he)",hím
but,"《先に述べたことに反対・対照する内容の語・句・節を導いて》『しかし』,だが,けれども / 《前にある否定語と対応して》(…でなく)『て』 / 《間投詞などの後でほとんど意味を持たずに》 / 『…を除いて』,以外に(except) / 《しばしばthatを伴って》『…でなければ』,『でないと』(unless) / 《文》《否定文に続いて》…しないでは(…ない),(…すれば)必ず…する / 《文》《否定の主節に続いて,so, suchと相関的に》…しないほど / 《文》《否定文・疑問文に用いられてdeny, doubt, questionなどの後で,名詞節を導いて》…ということ(that) / 《文》《否定文・疑問文に用いられたbe sure, believe, can tell, know, think, it is impossibleなどの後に,名詞節を導いて》…でないということを(that … not) / 『ほんの』,ただ(only) / 『…を除いて』,…のほかは(except) / …しない(もの)(that … not)",bʌ’t
all,"《単数形,または数えられない名詞につけて》(ある一つのものについて,その)『全体の』,全…,…じゅう,…全体 / 《複数形につけて》(個々を一つにまとめて)『全部の』,すべての / 《複数形,または数えられない名詞につけて》(ある全体の中の)いずれの,およそどの,あらゆる / 《数えられない名詞につけて》できる限りの,最大の / 《単数扱い》(物事について)『全部』,全体,すべて / 《複数扱い》『全員』,みんな / いっさいの所有物,いっさいがっさい / 『すっかり』,『全く』,もっぱら / 《all the+比較級の形で》かえって,いっそう / どちらも,双方とも",ɔ’:l
she,"『彼女は』,『彼女が』 / 《月・船・汽車・都市・国などを指して》それは,それが / 女,婦人;(動物の)雌",ʃí:
they,"『彼らが(は)』,彼女らが(は),それらが(は) / (一般に)『人々』,世間の人",ðéi
were,"《be の直説法一,二,三人称複数の過去形および二人称単数の過去形》 / 《be の仮定法過去》",wə’:r
my,"『私の』 / 《親しみをこめた呼び掛けに用いて》 / 《驚きを表して》おや,まあ",mái
are,"…『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形) アール(メートル法の面積単位;100平方メートル)",ɑ’:r
me,『私を』(『に』) / 《話》『私』(=『I』),mí:
one,"『1個の』,一人の,単一の;《補語にのみ用いて》1歳の / 《時を表す名詞と共に》『ある』… / 《人名に付けて》…という[名の]人 / 同一の,同じ(the same) / 《theまたは所有格を付けて》たった一つの,唯一の / 《another, [the]otherと対比して》一方の / 〈U〉〈C〉『1つ』,1個,一人,1時,1歳 / 〈C〉(数字の)『1』;1の記号(1,Iなど) / 《the O-》超人的なもの / 〈U〉《しばしばa ~》(攻撃・冗談・うそなどの)一発 / 《前に述べた可算名詞を受けて》『それ』 / 《修飾語を伴わないで》 / 《修飾語句を伴って》 / 《後》に「of+複数名詞・代名詞」を伴ってその名詞・代名詞の》『一つ』,一人 / 《後にanother, [the]otherと対照して》一つ,一方 / 《修飾語句を伴って》(特定の)『人』,者 / 《総称的に》『人』 / 私,自分",wʌ’n
their,"『彼らの』,彼女らの,それらの",ðéər
so,"《様態の指示》『そういうふうに』,『そのように』・《補語に用いて》『そのようで』,そうで・《程度》『それほど』,そんなに・《強意として》《話》『非常に』,『とても』,たいへん・《前に述べたことの内容に対する同意を表して;「so+主語+[助]動詞」》『その通りで』,『本当に』,確かに,おっしゃるとおり・《肯定文を受けて;「so+[助]動詞+主語」の語順で》…『もまた』,『も同様に』・《as~, so…で》~と同じように…,(~のように)そのように・《目的を表して》…『するように』・《理由・結果を表して》『その結果』,それで・《文・節の頭に用いて》『それで』,だから・《驚き・賛成・嫌悪・疑いなどを表して》そうか,そうなんだ,どうかな,まさか・それでよし =sol",sóu
an,"(次にくる語の発音が母音で始まるときに用いる) / (子音[h]で始まり第1音節に強勢のない語の場合はanを用いることがある.ただし,この場合は[h]を発音しない)",ən
said,sayの過去・過去分詞 / 前記の前述の,séd
them,"『彼らを(に)』,彼女らを(に),それらを(に) =those",ðém
we,"『私たちは(が)』,われわれは(が) / 《総称的に》『人は』,われわれは / 《論説・評論などで I の代りに用いて》私たちは,吾人(ごじん)は,筆者は / 《子供・病人などに対して,you の代りに養いて》あなたは / 《君主が公式の場でI の代りに用いて》余は",wi
who,"《疑問代名詞》『だれが』,どんな人が / 《関係代名詞》(先行詞は「人」) / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》『そしてその人は(を)』,それは…する(した)人だが / 《古》《先行詞を含んで》…する人[はだれでも]",hú:
would,"《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)",wəd
been,beの過去分飼形,bin
will,"《単純未来》 / 《平叙文で》…『だろう』,でしょう,する[予定である] / 《疑問文で》…『だろう[か]』 / 《will be+限在分詞の形で》a)《未来のある時点における進行(継続)中の動作を表して》…『しているだろう』,しているでしょう b)《当然の成り行きとして未来のでき事を表して》…『することになるだろう』,するでしょう,することになる / 《will have+過去分詞の形で》…『してしまっているだろう』,したことになるだろう / 《意志未来》 / 《一人称主語の平叙文で,話者の意志》…『するつもりである』,しよう / 《一・三人称主語の平叙文で,隠やかな命令》…『しなさい』,していただきます / 《二・三人称主語の平叙文で,主語の意志》…『するつもりである』,する意志がある / 《二人称主語の疑問文で》a)《相手の意志を聞いて》…『するつもりです[か]』,します[か]b)《依頼・勧誘》…『してくれませんか』,しませんか / 《想像・推測》…『だろう』,でしょう / 《主語の強い意志・固執》『どうしても』…『しようとする』,必ず…する / 《習慣》『よく…する』 / 《習性・傾向》『…するものである』,する傾向がある / 《無生物主語を伴って》《可能・能力》『できる』 / 《間接話法の被伝達部において,直接話法のwillをそのまま受け継いで》 〈U〉〈C〉《しばしばthe ~》(行動を選択する)『意志』,意思 / 〈U〉《時にa ~》(身心を抑制する)『意志力』 / 〈C〉〈U〉(…する)『決意』,意図《+to do》 / 〈U〉《one’s will》『願い』,望み / 〈U〉(人・物などに対して抱く)『気持ち』,意向,感情 / 〈C〉(特に正式の)『遺言書』 / 《古》…‘を’『望む』,願う / …‘を’意図する,決意する / 《will+名+名=will+名+to+名》(…に)〈遺産など〉‘を’遺贈する",wəl
no,"《名詞の前に置いて》『一つも』(『一人も,少しも』)…『ない』 / 《補語につけて》『決して…でない』 / 《省略文で》…なし;…お断り / 《話》少ししか(あまり)…ない / (肯定の問いに対して)『いいえ』;(否定の問いに対して)はい,ええ / 《not, norの前に挿入して》『いや』,否 / 《形容詞の前に置その形容詞を否定して》…どころではない / 《比較級の前に置いて》ちっとも…でない,…と全く同じ / 《… or no の形で》…であってもなくても / 《驚き・困惑・不信などを表して》とんでもない / 《単数形で》『拒否』,「『いいえ』」という返事 / 《複数形で》反対[投]票",nóu
when,"《疑問副詞》(句・節を導くこともある)『いつ』 / 《関係副詞》 / 《制限的用法》(…する,…した)『ところの』 / 《非制限用法》『するとその時に』,そしてそれから / 《先行詞を含んで》…『する』(…である,…した) / 『…する』(…である)『ときに』;…すると / 『…するときはいつでも』 / 『…[な]のに』,にもかかわらず / 『…であるから』 / 『もし…ならば』 / 《疑問代名詞》『いつ』 / 《非制限用法の関係代名詞》《前置詞の目的語》《おもに文》そしてそのとき / 《the~》時,日付,場合",(h)wen
there,"『そこで(に,へ)』,あそこで(に,へ) / 『その時に』,その筒所で,そこで / 『その点で』,その事で / 《文頭に置いて》『そら』,あれ / 《その場にいる人に》『そこの人』,おい君[たち] / 《名詞の後に用いて》『そこの,あそこの』,そこにいる(ある) / 《There is(are)+名の形で》『…がある』…がいる / 《There+動+名の形で》 / 『そこ,あそこ』,あの場所 / そら,やれやれ,まあまあ",ðéər
if,"《仮定・条件を表して》『もし』…『ならば』,もし…したら,…とすれば / 《条件の実現の可能性がある場合》 / 《if … shouldの形で可能性の少ない未来の仮定を表す場合》 / 《if … were(was)to…の形で可能性の有る無しとは関係ない仮定を表す場合》 / (a)《「if…過去形…,…助動詞の過去形」の形で現在の事実に反する仮定を表す場合》 / (b)《「if…過去完了…,…助動詞の過去形+完了形」の形で過去の事実に反する仮定を表す場合》 / 《譲歩を表して》『たとえ』…『でも』,…としても(even though) / …『すると』[『いつでも』](whenever) / 《間接疑問文を導いて》…『かどうか』(whether) / 《独立節を導いて願望・驚き・怒りなどを表して》…であればなあ,…とは驚いた,…をやりでもしたら / 仮定,条件",íf
more,"(数・量・程度などが)(…より)『いっそう大きい』,『もっと多く』,ずっと高い《+『than…』》 / 《しばしば数詞,any,some,no,a,few,a littleなどを伴って》『それ以上の』,『もっと多くの』 / 《単数扱い》(…より)『もっと多く』[『の数』,『量』,『程度』];それ以上[の数,量,程度]《+『than…』》 / 《複数扱い》(…よりも)『もっと』(『さらに』)『多数の人』(『物』)《+『than…』》 / (…より)『さらに多く』,もっと《+『than…』》 / 《形容詞・副詞の比較級を作って》(…より)『もっと』,いっそう《+『than…』》 / 『その上さらに』, / 《『more…than ~』》~『よりはむしろ』…",mɔ’:r
out,"(ある位置・状態から)『外へ』(『で』),外出して;戸外に;外国に / (隠れた所から表面に)『現れ出て』;世に出て;発表されて;(花・葉などが)出て来て,咲いて / 『無くなって』,消えて;終わって;流行遅れの,すたれた / 『最後まで』,すっかり / 大声で,はっきりと,隠さずに / (政権・現職から)離れて,去って / 仕事を休んで;ストライキをやって / (調子が)狂って,乱れて,(関節などが)はずれて;まちがって;損をして / (野球・クリケットで)アウトになって(ボクシングで)ノックアウトになって / 支配権を失った,政権から離れた / (野球・クリケットで打者・走者が)アウトになった / (衣服などが)並はずれて大きい,特大の / 遠く離れた / 《米》…から[外に(を)] / 《米》…に沿って外へ,のはずれに / (野球・クリケットで)アウト;《the outs》守備測 / 《複数形で》失業者 / 《米話》言い訳,口実 / ばれる,露見する / 出て行け",áut
up,"《上への動作》『上へ』,上のほうへ / 《上の位置》『上に』,上のほうで / 『起こして』,立てて,直立して / (地図・紙面などの)『上へ(に)』,北のほうへ(に) / (遠くから)『近くへ,中心へ』;(周辺から)中心へ;(川下から)川上へ;(地方から)都会へ / (大きさ・量・価値・地位などが)『上のほうへ』,高く / (話者,話題の場所へ)『近づいて』,追いついて / 『活動して』,活動状態に / (物事・人が)現れて・起こって / 『すっかり』,完全に,終わって,…し尽くして / 保管(貯蔵)して;くるんだ(閉ざした)状態に / 《動詞を省略した命令文で》 / (野球・クリケットで)打席へ / (競技で)勝ち越して / (対抗の競技で)おのおの / 《移動・位置》『…の高いほうへ』,をのぼって;…の上のほうに / (川の)『上流へ』;(流れ・風)に逆らって;…の内陸(奥地)のほうへ / (自分が今いる所,またはある地点から前方へ)『…に沿って』 / 『上へ向かう』,(列車などが)上りの;上り坂の,(情勢などが)上向きの / 上り,上昇,上り坂 / 上昇気運,向上,幸運 / 上りの列車(バス・エレボーターなど) / 値上がり / …‘を’持ち上げる / …‘を’増大する,〈賃金・物価など〉‘を’引き上げる / 〈人〉‘を’昇進させる / 立ち上がる,起き上がる / 《and を伴って》急に(突然)…する",ʌ’p
into,"《運動,動作の方向》…『の中へ(に)』 / …に突きあたって / …に加えて,の一員に / 《状態の変化・結果》…『に』,…『へ』 / 《時間の推移》…まで / 《割算に用いて》…を割って",ìntə
